theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,costs1,costs2,effects1,effects2
1000.2228177946,0.0865597724,1.9664737892,523.9651495789,0.730994867,0.2891388985,3.3935862947,0.1647333096,-0.0758441944,0.463168296,1500.0180654253,0.0796740022,5.788749887,0.8682284514,0.3070689704,3.7371735468,0.1919555297,-0.1258217388,0.2612498074,1089.4108680602,1741.677536489,0.7114783228,0.9900432007
1000.0166856102,0.0669415031,4.5658867212,388.7742520942,0.7009313489,0.3020425816,3.3715954958,0.2364996046,-0.0974702331,0.5452849527,1498.3982835083,0.0754787082,5.4688154767,0.7034442138,0.2964258775,2.4592931115,0.1890938219,-0.089196155,0.4641472749,1118.844493953,1658.8761802119,0.7012345091,0.5049809953
1002.0105571132,0.1319980598,4.3604726493,368.8408986589,0.73018657,0.3375571032,3.4577670165,0.072007381,-0.0750943478,0.729627351,1500.0612281409,0.0882104119,5.1630068393,0.9271140847,0.3254277587,2.739677828,0.230186861,-0.1072982953,0.4812932281,1214.3057625814,1668.0427927355,0.8483239018,0.8146972259
1000.3001696987,0.1194143731,4.8382883512,105.8495232201,0.8610323744,0.2546421074,4.2754775532,0.2653886796,-0.1444325677,0.4193609361,1502.2314946844,0.0689805811,5.9085662317,0.9437819312,0.2632855409,3.7892473323,0.1536870469,-0.0903091113,0.4604454343,1061.4559141007,1545.3732551389,0.9213458246,0.9351771714
998.4817076506,0.1064549576,6.8036224234,304.3699889783,0.7596273324,0.2368249321,3.5853769232,0.1800648557,-0.1417496303,0.0600700697,1499.9763486231,0.0433083494,4.1261741656,0.8953908159,0.3317913132,3.0646873238,0.2264507414,-0.1272019066,0.3536461087,1218.9306012935,1554.366593782,0.6434713806,0.9002794171
1000.8113082475,0.1159768537,3.692164191,483.5883120399,0.6201405669,0.2631678745,3.2290090819,0.2594773751,-0.1013769584,0.8327660495,1500.9076247441,0.0523030985,5.8641012428,0.8534549136,0.2750054568,2.3015526958,0.163042306,-0.0770247261,0.9386191489,1207.8865249062,1649.2293174749,0.5050718195,0.5283979189
1001.1526806002,0.0995246962,5.5555493979,671.7359103058,0.6753059183,0.3869508431,3.1239680079,0.3670037283,-0.120309617,0.1708395209,1499.5329557453,0.0769596882,7.2552441904,0.8688640896,0.3804729607,3.2238763932,0.2115667135,-0.0976715907,0.0057595399,1372.5651154687,1874.604312328,0.808781426,1.065627762
1000.7515341194,0.1240629399,5.6166856981,379.4424545314,0.7461648839,0.2052190914,3.1303841901,0.2207496335,-0.1011403064,0.5994587233,1502.2166261294,0.1049060202,5.6846102705,0.7924292043,0.3543446346,4.3438160616,0.2624213375,-0.0752734385,0.395210395,1265.1555892128,1728.4970730411,0.4659632884,1.2119065716
1002.2363687774,0.0862641482,6.8062744499,477.5343223119,0.7315119691,0.2575267507,2.886713497,0.2003882185,-0.1281149726,0.6877937642,1499.2816505056,0.0997887034,6.0155672011,0.7650882165,0.2328291019,2.390809189,0.2905939686,-0.1142288116,0.6774558058,1282.61466171,1785.9386521322,0.5261528038,0.4033987162
1000.6925152296,0.0611334072,2.0098370269,389.2389918834,0.7602606933,0.1554494517,3.5699360947,0.3100793324,-0.0851524253,0.3814302438,1499.4723664044,0.0979847727,6.5959487421,0.7487343632,0.3879854254,3.2370691208,0.1352704163,-0.1408108184,0.7420527288,1048.5176038724,1751.038514917,0.4118312859,0.9262278939
1000.2466613354,0.1113090678,8.3991673138,124.5880886343,0.7554954797,0.4321645238,3.3523713543,0.131479256,-0.0890501206,0.7513865391,1501.9074142804,0.0766652797,6.2746943134,0.7736864321,0.3040831995,2.9448984669,0.1924196943,-0.0650995096,0.30903173,1116.7244994519,1561.8406631346,1.0857462797,0.6889606088
999.397905343,0.0956506031,6.1985412664,317.0010873401,0.6536390498,0.3536708653,3.1857578062,0.0810632611,-0.1428506714,0.5034450455,1499.7109903662,0.1014870056,6.6094834232,0.6640639906,0.2665624139,3.1173551696,0.1960985168,-0.0959920631,0.5919997071,1187.346014667,1712.3479276085,0.7306316066,0.5406733236
1001.0885161926,0.1134640759,5.935228191,321.1420092579,0.6226224746,0.2709819088,2.6312467837,0.2707166953,-0.0833538086,0.3909719307,1499.2526500462,0.0868241941,4.6987289809,0.7344147123,0.2793593559,2.888499723,0.1846833789,-0.0937246417,0.5832252051,1217.3568435341,1630.266822195,0.4351200625,0.5825255707
1001.7105530808,0.0934449466,4.3789396764,388.1373206578,0.4436870422,0.3048928158,2.2711267395,0.1516992818,-0.0994894872,0.4213266339,1500.0986937914,0.0949775491,5.2316320317,0.7222629734,0.2730092699,2.2868669881,0.1851879559,-0.0853929172,0.276421365,1160.5323794997,1692.9593109062,0.3008723275,0.4465634385
999.9534153505,0.1239591788,7.0547008383,620.0050743968,0.6646030915,0.1801127129,3.1030883457,0.2917828358,-0.1116882618,0.347301657,1500.2843242855,0.1293294789,7.3443301429,0.8311595185,0.32715751,3.1184426983,0.2162945582,-0.0807829694,0.4778964149,1542.1447047053,2089.1889462821,0.360132314,0.8396169389
1000.6542714112,0.0804121082,6.9290321581,552.6351496915,0.9912699801,0.1363455496,3.6672762533,0.2449149721,-0.1016621689,0.4521775568,1499.0595534918,0.0902802487,5.054714356,1,0.3056687415,5.0977374417,0.1792712781,-0.1072879952,0.4913330006,1308.5704652345,1751.2495580478,0.4843930573,1.5487688584
999.9176953413,0.1111574609,6.6443045726,367.0952807493,0.5573700262,0.2750037477,2.1295932043,0.2601526961,-0.0981953966,0.4080653989,1498.9240145935,0.0768180216,6.2621344425,0.5527782919,0.3244001342,1.226284287,0.1944012657,-0.0997907596,0.9168500736,1271.0410637164,1675.5132828172,0.315997233,0.2021125692
999.6871664354,0.0935397773,5.7425311068,349.3276639727,0.6645306483,0.2113378468,3.0821992173,0.0619608454,-0.0635680678,0.8242792192,1500.6984349111,0.0487060664,5.2266056311,0.7618342262,0.2345219533,3.1581051113,0.1532999045,-0.0589524687,0.7657912753,1187.3302959461,1589.6258703098,0.4296189119,0.5573279267
999.343880093,0.0746211122,5.828216291,539.3926750809,0.7608997051,0.1737825729,3.0669631028,0.2361418837,-0.0925042979,0.4017177485,1500.9041254011,0.0718183691,7.2487020872,0.9141317296,0.3009487392,2.4765924186,0.2077496355,-0.1011789439,0.79529909,1233.9300599121,1781.7065376799,0.3967727524,0.6646102957
999.8325679884,0.0925002859,6.7110474971,511.3326397347,0.6044704165,0.2584353665,2.5945040836,0.2177557356,-0.0950246605,0.3609976974,1499.6002933253,0.1011816979,6.0814687484,0.7751794355,0.3822093138,0.8617903143,0.2065308871,-0.1062758113,0.2522372241,1317.2544800508,1814.2403112585,0.3978346106,0.2497955091
999.5053125692,0.12968797,4.8216807187,262.2488610901,0.5652420804,0.3338707968,2.7711629842,0.3869216535,-0.1389922704,0.3788250243,1499.4243676772,0.0713627869,6.0863338478,0.8726913366,0.2454863168,2.9034552312,0.1834954744,-0.0915624627,0.6186382793,1163.4931928527,1613.3289467086,0.5025949716,0.6116242691
1000.1535038756,0.1002860835,5.9544853713,258.5009686076,0.6734827037,0.3039786253,2.5163816555,0.2709433607,-0.0854593918,0.5789596152,1499.2090433171,0.0676841921,6.2378270608,0.9221580238,0.2927491831,3.9026206799,0.1138629685,-0.0997450636,0.4977714221,1154.5178786488,1608.348743026,0.5017589798,1.0479020891
1000.5224156272,0.0997293577,4.3835341099,472.9163924274,0.6602773525,0.4087880905,3.1623498149,0.2463721707,-0.0943141931,0.5166397417,1499.4023056753,0.0724577525,4.9428466194,0.8186819975,0.2042241429,1.5888038412,0.2148763398,-0.0973232367,0.3750739923,1207.2658755706,1668.7761563292,0.8415561202,0.257795749
999.1139872356,0.090181862,4.6678157819,553.7065849031,0.7583670569,0.2321364347,2.1784569774,0.3621898035,-0.1138290821,0.789838794,1500.5985034968,0.0935312244,3.7862073401,0.7701536466,0.3119613584,2.4033654203,0.2187924194,-0.0624779619,0.325278094,1232.1980579626,1696.6818459439,0.3509423785,0.5729817409
1000.6757056433,0.130387086,5.3725303143,377.53075757,0.6227406934,0.4392033919,2.5874454362,0.5208028238,-0.1082812667,0.3466629353,1499.7561271054,0.0941177312,6.0637648841,0.7916177472,0.2547587176,2.498625918,0.21370836,-0.0903355904,0.8799588505,1265.1392374826,1715.2158725937,0.6881423194,0.4869136721
1000.5948053069,0.0699584264,4.8029746057,576.2215452908,0.7712632469,0.2168161772,3.5485315031,0.2622201509,-0.1401256254,0.5320638555,1500.001025655,0.0512974125,4.7098188536,0.9609993685,0.3666899294,4.1284035074,0.230870854,-0.1097625606,0.507587273,1194.210168552,1639.2170270506,0.5738437447,1.441940362
1001.4465987136,0.0988076499,6.3221754608,479.6211760734,0.7095239477,0.2116562529,2.2624167159,0.1968458544,-0.094255979,0.5845215475,1502.1277669849,0.0810007548,5.5713667799,0.8244283431,0.358225184,2.7859886964,0.2415103909,-0.1071073593,0.2051135608,1301.056018986,1718.5735683513,0.3289136842,0.8174830302
999.2499429561,0.1053592058,6.0943449257,277.5947213498,0.7990709622,0.2328402375,4.025126776,0.2809087672,-0.1244818403,0.7456419549,1499.8733481724,0.0999862325,6.2428221436,1,0.2656941374,3.9143723194,0.1869168428,-0.0889443648,0.4787542277,1177.4922202982,1673.146936714,0.7228248368,1.032066392
1000.7715740757,0.1315425973,4.664912242,468.2239382849,0.6214615451,0.3319611291,2.986814759,0.3776455064,-0.1142300596,0.5362656736,1499.4323322263,0.0612109293,5.8255689357,0.7512124954,0.3237527461,2.0207478146,0.2199038565,-0.0899276396,0.338058469,1288.0900169865,1666.3955984697,0.5930494191,0.4847749794
1000.0580809872,0.0951190854,4.5722319553,174.1273807838,0.6757393085,0.4055580111,3.7209117097,0.263387729,-0.1073921597,0.8990939975,1499.8500289052,0.0787638988,5.9166210032,0.9061792361,0.2400893123,4.3478045751,0.2049880178,-0.1009699255,0.5008711442,1075.7872145059,1580.9961984199,0.9942898258,0.9355586924
1000.3498763788,0.1176516911,3.9784049515,686.6047403402,0.721314436,0.3723411109,2.8295169684,0.2763424562,-0.134141435,0.1685384446,1500.5896622888,0.0785478306,5.272229186,0.7521585279,0.239396337,2.5752690783,0.1339817401,-0.0909986666,0.0071517589,1321.7262589884,1784.9279039222,0.7536900247,0.4636260468
1000.7061557755,0.0752137435,5.4326371419,796.0799797012,0.6377070419,0.2166378154,3.135656176,0.4175142604,-0.128533443,0.4538835755,1499.3905093705,0.0527522661,5.8680860703,0.6900586934,0.2666984403,3.3636938531,0.2463043509,-0.1062389659,0.6608198517,1325.9915817014,1745.820918597,0.4088380245,0.6017543154
1000.1755273748,0.1009814919,3.5917699728,326.5557047067,0.6581655484,0.1412929734,2.7236334882,0.358494695,-0.0627632882,0.1538967163,1498.444534067,0.0314480248,5.4506309419,0.6401923458,0.2932860597,2.7041277583,0.2603836046,-0.1147447972,0.7146923902,1118.6180294027,1554.4199624007,0.2498193051,0.4863723112
1002.3705229927,0.1147250632,4.7987486608,191.1730747367,0.7031088229,0.2217940911,3.19383254,0.3079393497,-0.107430764,0.5303850272,1499.9198557882,0.0589455881,7.3982922339,0.8558012614,0.2780510358,3.6691300019,0.3014196006,-0.13045491,0.4742610001,1107.6183249529,1583.2898002167,0.4805171545,0.8544443329
1000.400603626,0.1192639099,5.8779939527,513.9439254885,0.5955540231,0.1796452317,2.8486825756,0.2162308703,-0.1170335628,0.3150856279,1499.0882993006,0.0906266502,6.5387688643,0.7420721726,0.2636817294,2.8782105203,0.1961596139,-0.0762744611,0.7425986483,1360.6920197557,1803.6446435532,0.2968024645,0.5520712296
1001.558818278,0.0970579359,5.876442732,372.9890792238,0.6840481856,0.2555847016,3.2605577753,0.1980196023,-0.0791437869,0.5640957109,1499.7932891858,0.0631052046,5.0730307893,1,0.3293312547,4.7857748686,0.181028083,-0.0871941004,0.6852846615,1214.2951545834,1619.2000160428,0.5612101368,1.5652883108
1000.320253795,0.0978532185,3.781541163,880.323552101,0.8025966241,0.3388255896,2.9857218772,0.3032787384,-0.151691448,0.5336290848,1499.2034074603,0.100283618,5.2155453887,0.7966295294,0.2914274701,3.4103205589,0.2678088221,-0.0834232044,0.653386492,1326.0716365093,1959.6423460947,0.787388532,0.7771414797
999.0427402146,0.0970520691,6.2459377608,392.1519994534,0.6514396959,0.2021130987,2.4877768238,0.2942296318,-0.1200897422,0.4718036582,1498.5321731715,0.0970091676,6.219240172,0.7786802692,0.2708438694,1.197019458,0.0606678842,-0.1299881725,0.3773244881,1236.757903226,1735.1266163139,0.3108811887,0.2494767125
998.6756054905,0.1269218364,4.4927094328,537.9478724902,0.5984667017,0.3999622903,2.972482426,0.2823529573,-0.0725429687,0.3492035814,1498.7279125562,0.0605176714,4.7850369029,0.7503129188,0.2772276994,2.5038028456,0.2704203352,-0.0899336347,0.4764784545,1305.4258184822,1654.5064761137,0.7043529786,0.5092219307
999.1752708584,0.0759156254,3.6438424774,405.6004317561,0.7428995648,0.3820322846,2.9330523742,0.2779604742,-0.0775110209,0.2932499188,1499.3331325112,0.113057997,5.8232427487,0.7851682469,0.3286649083,3.3453221485,0.2210282,-0.0820046815,0.6411666412,1111.3743202002,1766.3659205319,0.8261162703,0.8516632657
999.9573017285,0.0678282879,6.7946064562,251.3453582235,0.6716547205,0.3219696188,3.0249917975,0.1068808302,-0.1153392544,0.1508273581,1500.5925887188,0.1172660633,6.5584493289,0.842171887,0.2794649898,1.5059838397,0.2463471893,-0.1081274384,0.6147052433,1115.7939630131,1693.8981651458,0.6523024469,0.3380708423
1000.3323569007,0.1132094593,3.389096954,437.7584599029,0.6963728962,0.2586054343,2.4684763184,0.5321326993,-0.1160808562,0.1262661445,1499.7858878531,0.0854062116,7.6860501819,0.8252753594,0.281298535,3.1898235005,0.1912507991,-0.0839106801,0.4863808129,1168.2905745277,1787.1464877591,0.4367380575,0.7327081051
999.2449887455,0.1027294147,3.2779290497,39.0082742218,0.6856645199,0.2993353384,2.4346951043,0.351624843,-0.0969284332,0.7545536476,1500.0387873968,0.08064442,6.3685425772,0.5775260571,0.3248651731,3.0939382542,0.2201766917,-0.0943303114,0.6903776551,1012.3806245796,1520.0729464142,0.4739886062,0.5661401392
997.1959868779,0.1214437242,4.6853283144,693.1109723126,0.5508532604,0.3058015869,1.9720010005,0.0838392506,-0.1144057165,0.5990908136,1499.3023630246,0.0837152265,3.6627209434,0.5633000626,0.2918069758,2.5310812681,0.1822098304,-0.0979202348,0.4414145598,1391.5787081262,1711.8278706484,0.3264408274,0.4081704678
997.5125282747,0.088583482,6.0216727556,430.6506676424,0.683632491,0.3163337,2.5113334393,0.2699225843,-0.1170045351,0.4734172577,1499.2281688455,0.0806977447,4.932241858,0.6609786103,0.2336785296,2.3156579064,0.21589916,-0.1137741272,0.6500263294,1227.2305261941,1670.6360895435,0.5281393698,0.3417013613
999.6127575873,0.1251929085,4.4099196073,834.5223340724,0.8607119488,0.3234597802,3.4271250191,0.1738592342,-0.0972416923,0.3912589721,1501.670705201,0.0788189516,6.0848646422,0.9720663406,0.3395717338,3.2628670021,0.3406131603,-0.113152224,0.5048719725,1460.3447455449,1901.9098296351,0.9475163648,1.0575692021
1000.6729109226,0.1095130059,7.3640884846,495.1019057799,0.7715022749,0.0644998789,3.4373283607,0.1106291461,-0.0730793847,0.5912599156,1499.9361821564,0.0323882017,4.7658886773,0.9131587485,0.2866236993,3.1501399759,0.1858531007,-0.1107395513,0.6433804757,1399.954509831,1576.359401276,0.1662674928,0.8112537933
1000.4771176077,0.1208283746,5.304719301,258.0107138156,0.4394314734,0.365280865,2.2252261364,0.1811963638,-0.1175366563,0.4591885009,1500.4725530272,0.0758279493,4.9167701999,0.6099400916,0.2504652161,1.5283809651,0.12843844,-0.0830808178,0.3450067271,1165.8518223007,1596.6663265597,0.3474047593,0.229807403
1000.3052268615,0.0730549101,7.7098407089,522.1452706978,0.8854394706,0.2824502322,3.7552791627,0.3084370794,-0.1056189705,0.423645669,1499.630311633,0.0562856751,5.2235681443,0.9107530042,0.3059335328,4.304180277,0.2121726999,-0.0731949474,0.5325022887,1294.3992269778,1653.1473179875,0.9253664465,1.1910035071
999.9377519275,0.1004245433,5.2441441156,213.1804736712,0.6347117416,0.241960464,2.4884144225,0.3324221731,-0.1038246482,0.7124750395,1500.043978971,0.0673845894,8.1728803837,0.7903723181,0.2841411552,3.1334101212,0.2711889465,-0.0920394763,0.760248177,1112.2072823846,1617.4480487223,0.3575685227,0.6847169339
1001.0188374452,0.1292667613,7.4246777199,149.2733199522,0.7526668693,0.6173084991,3.1916621238,0.1738032094,-0.0486794315,0.4113136028,1500.3541839703,0.0712809901,7.2336374274,0.8430975276,0.3264822234,4.0889493509,0.2860937819,-0.1033188875,0.5341589908,1144.2860023947,1577.3226182687,1.4794545124,1.1097201481
998.9476467989,0.1067751267,4.4835901594,458.2892471035,0.7741137748,0.1795645839,3.438650629,0.2952017547,-0.1135853532,0.186515056,1500.9456507949,0.1144895645,5.3903177419,0.9512362037,0.2245862858,4.3612393725,0.1807096579,-0.1373008734,0.6239011524,1218.347165305,1783.7720452549,0.4717302293,0.9162316725
998.4138937487,0.0936742041,9.0662079154,311.3416253563,0.7495313625,0.3448577483,2.9016557949,0.2633705825,-0.1154556907,0.1340009719,1500.0927140018,0.0749208665,6.1130796122,0.8993101685,0.3111876675,2.1819535601,0.1718043879,-0.0999578866,0.5966337832,1262.826936921,1642.686313361,0.7459502643,0.6003828282
999.625435094,0.0845625337,4.9748154872,400.2210703263,0.6378686016,0.2954475298,2.4518628241,0.2400652784,-0.1275129287,0.4780082183,1499.4394802522,0.0594257823,6.686312619,0.6926292006,0.3179500768,2.1179357375,0.2193669438,-0.0935596811,0.7650963773,1167.991636458,1658.4630633856,0.4474374697,0.4507122384
999.7813239251,0.0785031914,6.86406045,414.8682648303,0.6533998085,0.2314158169,2.7553154607,0.2809276921,-0.0458550716,0.4670552801,1499.0330091776,0.0681785092,6.3866477373,0.8633579757,0.3654756466,3.9614537263,0.1890477797,-0.1049582486,0.6068747771,1223.3333585703,1679.6799778934,0.4106065367,1.237940824
997.5390092475,0.1127661138,7.1631270155,282.0958107624,0.5234767874,0.3126001069,2.952134261,0.1408124883,-0.0608667562,0.4608985094,1502.8133895411,0.0744088349,5.1377057234,0.6121994622,0.3302039777,1.9979895708,0.1185070651,-0.0761570966,0.7806873788,1225.4041560932,1610.6559936646,0.4791337336,0.3968491617
999.6469906,0.1180211308,7.2821729586,286.2662534363,0.5510489146,0.3251770239,2.566498388,0.2704120401,-0.0930467139,0.5279818436,1498.4746237392,0.1092556091,3.734079191,0.8023236403,0.2402072215,1.4486377156,0.2114948329,-0.1067435287,0.7032638664,1245.6786042736,1615.2624084874,0.4466023323,0.2633104797
1000.177162667,0.1011663126,5.0883053338,372.9642769752,0.7125221045,0.5119846869,3.6890969384,0.1384720625,-0.1239048863,0.3424558904,1501.5152261764,0.0719863598,6.803193089,0.7195776404,0.3341169524,3.0131594625,0.2484105541,-0.0774116306,0.4765559748,1192.1661515348,1684.169671539,1.3399084224,0.7152689956
998.5801344952,0.1065376012,5.5514341937,635.6173993146,0.6749128348,0.455300935,3.2831795688,0.2531458831,-0.0961075856,0.3786057575,1500.64252541,0.0707697382,6.7939978689,0.9133375388,0.2471872703,3.5184918441,0.2357839282,-0.1192230094,0.6030459486,1374.5074533516,1806.2533778148,0.9996719534,0.7774016188
