Iteration	M	a	b	e	h	
107	58910.0	0.1065	0.009806	4.765E-4	0.4758	
108	58610.0	0.1046	0.007252	4.733E-4	0.3083	
109	53770.0	0.1077	0.006812	4.273E-4	0.3862	
110	53700.0	0.1073	0.006699	3.908E-4	0.4819	
111	55480.0	0.1075	0.006137	5.359E-4	0.5372	
112	28480.0	0.1048	0.006169	5.067E-4	0.397	
113	3168.0	0.1054	0.006874	4.989E-4	0.2042	
114	35410.0	0.1045	0.007049	6.314E-4	0.2523	
115	52410.0	0.1056	0.008395	4.584E-4	0.5153	
116	19090.0	0.1051	0.009022	4.381E-4	0.4281	
117	59730.0	0.1063	0.008771	4.752E-4	0.5408	
118	53670.0	0.1073	0.006679	5.506E-4	0.5034	
119	58870.0	0.1064	0.006876	5.122E-4	0.5801	
120	59050.0	0.1055	0.01051	4.74E-4	0.6196	
121	50160.0	0.1059	0.008888	4.119E-4	0.5892	
122	50100.0	0.1068	0.009341	4.338E-4	0.2992	
123	49770.0	0.1041	0.009186	5.667E-4	0.36	
124	43100.0	0.1057	0.01133	5.948E-4	0.4471	
125	56530.0	0.1058	0.02021	4.685E-4	0.4872	
126	57920.0	0.106	0.01145	4.338E-4	0.4174	
127	57100.0	0.106	0.01121	4.945E-4	0.5041	
128	55540.0	0.1055	0.01178	4.776E-4	0.5058	
129	44140.0	0.1065	0.01045	4.658E-4	0.4323	
130	28840.0	0.1065	0.005563	4.709E-4	0.4859	
131	499.0	0.1066	0.007623	5.704E-4	0.3412	
132	58650.0	0.1048	0.007546	5.344E-4	0.4842	
133	59360.0	0.1065	0.009782	6.156E-4	0.3785	
134	56600.0	0.1061	0.01001	3.438E-4	0.7126	
135	29730.0	0.1057	0.009791	4.129E-4	0.7458	
136	52760.0	0.1053	0.01006	3.646E-4	0.6956	
137	35600.0	0.1069	0.008816	4.085E-4	0.3956	
138	8462.0	0.1039	0.008399	5.96E-4	0.2781	
139	51620.0	0.1075	0.007663	6.321E-4	0.254	
140	41760.0	0.1074	0.006674	6.371E-4	0.3343	
141	59960.0	0.1043	0.006715	4.968E-4	0.5745	
142	48740.0	0.1062	0.007903	4.703E-4	0.486	
143	42590.0	0.1057	0.007159	4.838E-4	0.4538	
144	56780.0	0.1055	0.009099	4.671E-4	0.4921	
145	58800.0	0.1048	0.009829	4.106E-4	0.3995	
146	55470.0	0.106	0.01062	4.605E-4	0.4324	
147	58480.0	0.1053	0.008068	4.718E-4	0.4636	
148	59520.0	0.105	0.00701	5.109E-4	0.6524	
149	50240.0	0.1066	0.006906	3.811E-4	0.5727	
150	56370.0	0.1056	0.005469	3.709E-4	0.4054	
151	55440.0	0.1049	0.006814	3.979E-4	0.5347	
152	53490.0	0.1052	0.006335	5.26E-4	0.5126	
153	55470.0	0.1063	0.00503	4.344E-4	0.4619	
154	59440.0	0.1064	0.008156	5.404E-4	0.5817	
155	56570.0	0.1047	0.007707	4.578E-4	0.5322	
156	56190.0	0.1068	0.01212	4.967E-4	0.4731	
157	60010.0	0.105	0.01262	4.506E-4	0.4374	
158	55730.0	0.1062	0.00898	4.137E-4	0.518	
159	54140.0	0.1059	0.007315	4.489E-4	0.5187	
160	53520.0	0.1064	0.006265	5.521E-4	0.5421	
161	57620.0	0.1069	0.006971	5.042E-4	0.644	
162	59530.0	0.106	0.01159	4.662E-4	0.7039	
163	29100.0	0.1062	0.01304	4.363E-4	0.2957	
164	54410.0	0.1054	0.005633	5.384E-4	0.3181	
165	45890.0	0.1067	0.006156	4.884E-4	0.4795	
166	57720.0	0.1071	0.007636	6.131E-4	0.4757	
167	48060.0	0.107	0.008114	6.004E-4	0.4441	
168	59100.0	0.1072	0.008939	4.482E-4	0.3369	
169	50350.0	0.104	0.008854	6.396E-4	0.2519	
170	54240.0	0.1047	0.012	4.331E-4	0.3923	
171	58760.0	0.1066	0.01233	5.241E-4	0.4162	
172	56240.0	0.104	0.01415	3.976E-4	0.5029	
173	57680.0	0.106	0.01118	4.4E-4	0.4691	
174	12710.0	0.1053	0.0107	4.324E-4	0.2753	
175	30780.0	0.1061	0.009923	5.495E-4	0.289	
176	49100.0	0.1053	0.007375	5.767E-4	0.3177	
177	46810.0	0.1045	0.007584	5.912E-4	0.3742	
178	33990.0	0.1049	0.009639	5.178E-4	0.4281	
179	59110.0	0.1052	0.007939	5.029E-4	0.618	
180	42260.0	0.104	0.008004	5.306E-4	0.6035	
181	6.0E+4	0.1033	0.008331	4.363E-4	0.3653	
182	35030.0	0.106	0.007217	4.803E-4	0.4913	
183	59780.0	0.1054	0.0096	4.714E-4	0.4287	
184	46600.0	0.1047	0.009666	5.366E-4	0.2959	
185	34090.0	0.1056	0.0111	4.887E-4	0.2947	
186	59950.0	0.1058	0.004727	4.665E-4	0.2347	
187	58100.0	0.1047	0.004645	6.348E-4	0.3441	
188	57750.0	0.1049	0.004332	6.431E-4	0.345	
189	42560.0	0.1056	0.006215	6.555E-4	0.3565	
190	56130.0	0.1028	0.006617	5.913E-4	0.3371	
191	32870.0	0.1055	0.009801	4.561E-4	0.4905	
192	22350.0	0.1064	0.008257	4.768E-4	0.6259	
193	-5252.0	0.1061	0.008692	4.509E-4	0.5538	
194	21460.0	0.1052	0.01187	4.341E-4	0.4569	
195	6756.0	0.1053	0.005214	4.316E-4	0.6168	
196	56310.0	0.1039	0.004859	4.777E-4	0.5607	
197	59940.0	0.1036	0.01022	4.387E-4	0.6095	
198	57610.0	0.1039	0.01074	4.425E-4	0.4734	
199	45070.0	0.1056	0.008964	5.723E-4	0.1563	
200	38030.0	0.1057	0.00966	5.716E-4	0.4514	
201	-3402.0	0.1053	0.009529	4.249E-4	0.3816	
202	55850.0	0.1043	0.009874	4.217E-4	0.606	
203	59410.0	0.1038	0.01015	3.998E-4	0.4714	
204	56540.0	0.1054	0.01089	4.848E-4	0.3651	
205	58940.0	0.1054	0.01657	3.706E-4	0.4361	
206	59870.0	0.1062	0.007826	4.942E-4	0.3973	
207	56910.0	0.1057	0.01058	4.114E-4	0.4667	
208	58920.0	0.106	0.0106	4.521E-4	0.4382	
209	42570.0	0.1063	0.01204	3.794E-4	0.4009	
210	54550.0	0.1063	0.009126	4.592E-4	0.5047	
211	55460.0	0.1051	0.006956	4.025E-4	0.7993	
212	47080.0	0.1051	0.009483	4.457E-4	0.4664	
213	59880.0	0.1039	0.01116	4.935E-4	0.2947	
214	55190.0	0.1047	0.006669	4.807E-4	0.477	
215	53940.0	0.1063	0.008206	5.084E-4	0.4671	
216	53490.0	0.106	0.008868	4.795E-4	0.5	
217	40550.0	0.1048	0.007174	4.691E-4	0.3961	
218	59920.0	0.1065	0.00883	4.512E-4	0.3842	
219	59700.0	0.1062	0.008175	4.601E-4	0.5184	
220	59090.0	0.1058	0.007269	4.196E-4	0.5118	
221	59910.0	0.1061	0.01004	4.154E-4	0.366	
222	48460.0	0.1042	0.00513	4.764E-4	0.4559	
223	53430.0	0.1047	0.008719	4.329E-4	0.5502	
224	54090.0	0.1058	0.01104	4.306E-4	0.4385	
225	53050.0	0.1058	0.01471	5.327E-4	0.3893	
226	56390.0	0.1057	0.008096	4.566E-4	0.2676	
227	57390.0	0.1061	0.00891	5.035E-4	0.4689	
228	42870.0	0.1044	0.01023	4.3E-4	0.3774	
229	59410.0	0.1056	0.005498	4.466E-4	0.5752	
230	43190.0	0.1054	0.0061	4.812E-4	0.4709	
231	56890.0	0.1074	0.007128	4.686E-4	0.3991	
232	57980.0	0.1055	0.009445	5.012E-4	0.4323	
233	47560.0	0.1047	0.008368	4.19E-4	0.4387	
234	56790.0	0.1073	0.006168	5.75E-4	0.2595	
235	55730.0	0.107	0.009357	4.627E-4	0.5267	
236	1215.0	0.1073	0.005669	4.22E-4	0.6302	
237	50120.0	0.1047	0.009557	4.111E-4	0.4677	
238	48070.0	0.1058	0.008043	3.592E-4	0.4264	
239	50260.0	0.1041	0.006781	5.225E-4	0.4267	
240	50010.0	0.1047	0.00759	5.324E-4	0.3483	
241	59620.0	0.1049	0.008189	4.394E-4	0.3506	
242	51340.0	0.106	0.009225	5.418E-4	0.5133	
243	42390.0	0.1052	0.008838	4.758E-4	0.5288	
244	53950.0	0.1049	0.008487	4.734E-4	0.3604	
245	59910.0	0.1075	0.007369	4.89E-4	0.2732	
246	3156.0	0.1076	0.006912	5.518E-4	0.5801	
247	59170.0	0.1057	0.00748	4.755E-4	0.3508	
248	48670.0	0.106	0.006887	4.189E-4	0.4688	
249	43190.0	0.1062	0.008005	5.764E-4	0.3132	
250	57790.0	0.106	0.009774	5.884E-4	0.3903	
251	56070.0	0.1045	0.008911	4.357E-4	0.4179	
252	42050.0	0.1064	0.009807	4.713E-4	0.3401	
253	57020.0	0.1051	0.007945	4.722E-4	0.2746	
254	47650.0	0.1045	0.004527	4.779E-4	0.3075	
255	44390.0	0.1064	0.005817	4.798E-4	0.5418	
256	59560.0	0.1048	0.01187	4.434E-4	0.4878	
257	59020.0	0.1056	0.006757	4.466E-4	0.5253	
258	53610.0	0.106	0.003287	4.355E-4	0.4664	
259	59930.0	0.1065	0.008572	4.59E-4	0.4543	
260	58860.0	0.104	0.006835	4.13E-4	0.7214	
261	50070.0	0.1075	0.008219	3.837E-4	0.4739	
262	58900.0	0.106	0.006023	4.885E-4	0.7101	
263	46470.0	0.1063	0.0105	4.424E-4	0.6043	
264	59730.0	0.1057	0.01275	5.07E-4	0.5805	
265	50440.0	0.1056	0.01415	3.214E-4	0.5659	
266	59940.0	0.1057	0.01007	5.01E-4	0.3641	
267	59420.0	0.1051	0.007307	4.588E-4	0.3368	
268	59020.0	0.1053	0.005473	4.998E-4	0.5852	
269	56560.0	0.1064	0.00821	5.091E-4	0.606	
270	56840.0	0.1065	0.007771	5.166E-4	0.2426	
271	53310.0	0.1067	0.009398	5.909E-4	0.2799	
272	52400.0	0.1055	0.004028	6.999E-4	0.3625	
273	55520.0	0.1071	0.004884	7.034E-4	0.3191	
274	59970.0	0.1059	0.006125	6.614E-4	0.2594	
275	28600.0	0.1052	0.007706	5.561E-4	0.3634	
276	58840.0	0.106	0.009103	4.147E-4	0.4468	
277	26410.0	0.106	0.008122	4.955E-4	0.2957	
278	59670.0	0.1058	0.01084	5.525E-4	0.176	
279	49070.0	0.1055	0.007617	5.537E-4	0.2166	
280	59830.0	0.107	0.004536	5.583E-4	0.5383	
281	58150.0	0.1062	0.01103	5.372E-4	0.3106	
282	52710.0	0.1058	0.01132	5.843E-4	0.4231	
283	35890.0	0.1068	0.009487	4.693E-4	0.4503	
284	48610.0	0.1038	0.00859	6.144E-4	0.2368	
285	49810.0	0.1037	0.009596	4.274E-4	0.4583	
286	55840.0	0.1047	0.006709	4.401E-4	0.448	
287	4.8E+4	0.1055	0.01133	4.485E-4	0.5458	
288	59780.0	0.1057	0.009412	5.097E-4	0.597	
289	55860.0	0.1059	0.01179	4.358E-4	0.6981	
290	46820.0	0.1059	0.00895	3.783E-4	0.6555	
291	59970.0	0.107	0.01073	4.346E-4	0.7603	
292	59280.0	0.1055	0.01016	4.969E-4	0.5898	
293	53330.0	0.1067	0.007286	4.488E-4	0.5015	
294	58150.0	0.1051	0.009198	4.404E-4	0.449	
295	57240.0	0.107	0.0112	4.339E-4	0.3852	
296	49240.0	0.1034	0.004772	5.098E-4	0.3423	
297	36380.0	0.1038	0.01201	4.537E-4	0.5654	
298	57970.0	0.1062	0.009077	3.89E-4	0.5175	
299	59920.0	0.1058	0.01181	3.657E-4	0.3759	
300	59650.0	0.1057	0.00602	5.108E-4	0.3696	
301	59980.0	0.1065	0.008509	4.87E-4	0.3185	
302	60010.0	0.106	0.007513	5.552E-4	0.417	
303	37860.0	0.1059	0.008743	4.312E-4	0.4212	
304	40030.0	0.1048	0.004318	4.584E-4	0.5708	
305	57240.0	0.105	0.008937	5.315E-4	0.5295	
306	57460.0	0.106	0.007916	4.577E-4	0.5072	
307	49080.0	0.1055	0.007821	4.815E-4	0.2425	
