Iteration	M	a	b	e	h	
5374	59990.0	0.1046	0.007036	3.998E-4	0.6016	
5375	54960.0	0.1052	0.006974	4.238E-4	0.6895	
5376	59910.0	0.1041	0.005868	4.221E-4	0.2806	
5377	51440.0	0.1058	0.0072	5.072E-4	0.6982	
5378	5.8E+4	0.1058	0.007705	4.256E-4	0.4737	
5379	50270.0	0.1061	0.008887	3.953E-4	0.5729	
5380	59970.0	0.1037	0.006816	3.834E-4	0.6626	
5381	35560.0	0.1059	0.00599	4.048E-4	0.6411	
5382	58980.0	0.107	0.005116	4.315E-4	0.2612	
5383	44100.0	0.1067	0.008629	4.743E-4	0.6027	
5384	59350.0	0.1058	0.009358	4.384E-4	0.4235	
5385	52860.0	0.1055	0.009413	4.666E-4	0.4385	
5386	45340.0	0.1058	0.006617	4.898E-4	0.4385	
5387	58980.0	0.1048	0.004103	5.454E-4	0.4804	
5388	54580.0	0.1057	0.008675	5.042E-4	0.5701	
5389	58320.0	0.1068	0.007764	4.149E-4	0.1843	
5390	59520.0	0.1068	0.007572	4.721E-4	0.2992	
5391	55910.0	0.1065	0.007599	4.783E-4	0.254	
5392	40530.0	0.1065	0.005595	5.687E-4	0.4521	
5393	56560.0	0.1053	0.005807	4.979E-4	0.2855	
5394	48310.0	0.1054	0.00502	5.565E-4	0.3339	
5395	50140.0	0.1065	0.009249	5.57E-4	0.3157	
5396	57490.0	0.1046	0.01236	5.701E-4	0.2908	
5397	38190.0	0.1072	0.007869	5.779E-4	0.48	
5398	58130.0	0.1029	0.01197	4.284E-4	0.4335	
5399	56770.0	0.1035	0.01192	5.046E-4	0.4267	
5400	55240.0	0.1063	0.009429	5.451E-4	0.4632	
5401	56380.0	0.1043	0.01248	4.778E-4	0.3797	
5402	12040.0	0.1028	0.007958	4.417E-4	0.3933	
5403	43160.0	0.1065	0.008146	4.603E-4	0.4634	
5404	54250.0	0.1069	0.006633	5.494E-4	0.2934	
5405	59750.0	0.1044	0.009184	5.166E-4	0.3383	
5406	59550.0	0.1069	0.008587	4.321E-4	0.6747	
5407	58510.0	0.1062	0.006846	4.115E-4	0.5232	
5408	36050.0	0.1052	0.00868	5.415E-4	0.253	
5409	42550.0	0.1076	0.006476	5.903E-4	0.2345	
5410	28820.0	0.1068	0.006449	4.45E-4	0.2515	
5411	17330.0	0.1054	0.008246	4.256E-4	0.7136	
5412	59990.0	0.1052	0.01013	3.707E-4	0.5977	
5413	59380.0	0.1039	0.007491	4.392E-4	0.2878	
5414	54130.0	0.1071	0.00688	5.557E-4	0.2985	
5415	58690.0	0.1038	0.007223	4.342E-4	0.6331	
5416	5.2E+4	0.1046	0.008719	3.965E-4	0.4928	
5417	60010.0	0.1046	0.009527	4.681E-4	0.4311	
5418	39320.0	0.1045	0.009447	4.776E-4	0.5597	
5419	26990.0	0.105	0.007389	4.559E-4	0.5751	
5420	55880.0	0.1065	0.007787	4.462E-4	0.3351	
5421	55050.0	0.1056	0.01098	5.154E-4	0.352	
5422	33720.0	0.1058	0.007345	4.621E-4	0.52	
5423	59080.0	0.1071	0.007712	4.864E-4	0.364	
5424	53100.0	0.1061	0.007401	4.906E-4	0.1938	
5425	56390.0	0.1051	0.006862	6.041E-4	0.494	
5426	51880.0	0.107	0.01028	5.856E-4	0.4385	
5427	54740.0	0.1058	0.01104	3.959E-4	0.4489	
5428	44140.0	0.105	0.0099	6.137E-4	0.2888	
5429	57260.0	0.1046	0.01001	6.104E-4	0.2589	
5430	54120.0	0.1054	0.008259	5.699E-4	0.5067	
5431	55460.0	0.1066	0.01012	4.505E-4	0.3944	
5432	59650.0	0.107	0.01057	4.789E-4	0.1998	
5433	54850.0	0.1041	0.01091	5.32E-4	0.5112	
5434	56250.0	0.1068	0.01133	6.244E-4	0.5107	
5435	56950.0	0.1067	0.01408	5.087E-4	0.5446	
5436	41940.0	0.1074	0.01266	5.255E-4	0.5352	
5437	54100.0	0.1052	0.01282	4.391E-4	0.4727	
5438	45160.0	0.1048	0.006357	4.669E-4	0.2423	
5439	55880.0	0.1053	0.006157	5.91E-4	0.6258	
5440	29850.0	0.106	0.007672	5.218E-4	0.5291	
5441	58130.0	0.1059	0.008421	5.483E-4	0.3308	
5442	58230.0	0.1053	0.008645	5.387E-4	0.3569	
5443	45570.0	0.1056	0.008642	4.612E-4	0.3316	
5444	55020.0	0.104	0.01198	5.556E-4	0.4804	
5445	60010.0	0.1066	0.01947	6.374E-4	0.3241	
5446	51340.0	0.1045	0.01951	5.296E-4	0.4019	
5447	42680.0	0.1053	0.008649	5.013E-4	0.3412	
5448	49500.0	0.106	0.009591	5.031E-4	0.2824	
5449	58100.0	0.1048	0.007858	4.811E-4	0.3512	
5450	59880.0	0.1047	0.007872	5.982E-4	0.2583	
5451	58250.0	0.1064	0.01045	5.562E-4	0.2674	
5452	55590.0	0.1062	0.009584	5.033E-4	0.4489	
5453	59430.0	0.1049	0.009109	5.055E-4	0.4033	
5454	46630.0	0.1045	0.008395	5.922E-4	0.3307	
5455	59860.0	0.1046	0.00857	6.11E-4	0.4567	
5456	59880.0	0.1066	0.008854	6.142E-4	0.2147	
5457	25690.0	0.1065	0.01133	3.974E-4	0.828	
5458	29550.0	0.1065	0.01158	4.699E-4	0.4146	
5459	47420.0	0.1052	0.01199	4.26E-4	0.337	
5460	59340.0	0.1064	0.01081	4.601E-4	0.537	
5461	58900.0	0.1038	0.009865	4.201E-4	0.4968	
5462	59810.0	0.1073	0.01189	4.595E-4	0.5533	
5463	57090.0	0.107	0.008771	4.894E-4	0.4175	
5464	50950.0	0.1058	0.007817	5.491E-4	0.3504	
5465	50900.0	0.1057	0.006245	4.647E-4	0.3658	
5466	59550.0	0.107	0.003331	4.73E-4	0.3518	
5467	47500.0	0.1073	0.004298	5.766E-4	0.1841	
5468	52190.0	0.1048	0.006242	5.201E-4	0.3251	
5469	45270.0	0.1066	0.006623	5.607E-4	0.3646	
5470	32120.0	0.1064	0.007371	4.823E-4	0.1775	
5471	46390.0	0.1063	0.007649	5.9E-4	0.2296	
5472	29800.0	0.1064	0.00577	5.532E-4	0.4679	
5473	52440.0	0.1059	0.006587	4.966E-4	0.5286	
5474	59990.0	0.1063	0.00701	5.553E-4	0.3739	
5475	35090.0	0.1055	0.006847	4.353E-4	0.2625	
5476	58880.0	0.1058	0.007454	4.996E-4	0.2314	
5477	57880.0	0.1055	0.007652	6.77E-4	0.4251	
5478	32580.0	0.1046	0.007754	6.718E-4	0.5842	
5479	58500.0	0.1047	0.01022	4.615E-4	0.5375	
5480	56060.0	0.1048	0.00962	5.107E-4	0.2396	
5481	58250.0	0.1046	0.009283	4.6E-4	0.3042	
5482	4561.0	0.1056	0.0154	4.345E-4	0.4495	
5483	50990.0	0.1057	0.008529	5.368E-4	0.4417	
5484	58020.0	0.1065	0.005723	4.919E-4	0.4373	
5485	58580.0	0.1062	0.006133	4.538E-4	0.3514	
5486	59380.0	0.1064	0.005407	4.548E-4	0.4345	
5487	59150.0	0.1051	0.008119	4.292E-4	0.528	
5488	47740.0	0.105	0.009411	4.21E-4	0.3888	
5489	35080.0	0.1046	0.00735	4.005E-4	0.3125	
5490	58050.0	0.1055	0.01099	6.219E-4	0.3064	
5491	45360.0	0.1066	0.01264	4.065E-4	0.645	
5492	42930.0	0.1061	0.01344	4.579E-4	0.3415	
5493	58470.0	0.1052	0.007239	5.167E-4	0.3116	
5494	54720.0	0.1045	0.006415	4.313E-4	0.5557	
5495	48750.0	0.1069	0.007604	4.42E-4	0.5488	
5496	14440.0	0.1065	0.01186	4.821E-4	0.5799	
5497	59990.0	0.1048	0.01068	4.678E-4	0.4278	
5498	53720.0	0.1068	0.009063	4.148E-4	0.3119	
5499	51900.0	0.1057	0.008078	4.348E-4	0.3224	
5500	59070.0	0.1048	0.009327	3.933E-4	0.565	
5501	59970.0	0.106	0.006162	5.854E-4	0.5082	
5502	57200.0	0.1055	0.01616	3.765E-4	0.6367	
5503	59920.0	0.1056	0.01332	3.738E-4	0.963	
5504	59810.0	0.1053	0.01538	4.129E-4	0.3875	
5505	55800.0	0.1043	0.01427	4.332E-4	0.3808	
5506	56050.0	0.1071	0.008149	4.866E-4	0.5653	
5507	11900.0	0.1075	0.01312	4.147E-4	0.703	
5508	51270.0	0.1045	0.0144	3.852E-4	0.6192	
5509	59940.0	0.1048	0.009883	3.573E-4	0.6326	
5510	57430.0	0.1064	0.007077	4.149E-4	0.6985	
5511	41720.0	0.1066	0.009407	4.197E-4	0.4581	
5512	29690.0	0.1058	0.009274	4.283E-4	0.6648	
5513	46560.0	0.1059	0.005705	3.816E-4	0.5778	
5514	42150.0	0.1067	0.005105	4.541E-4	0.5177	
5515	53720.0	0.1051	0.008665	4.408E-4	0.5941	
5516	50110.0	0.1053	0.01058	3.9E-4	0.5134	
5517	6588.0	0.107	0.0126	4.472E-4	0.3691	
5518	41400.0	0.1061	0.005057	4.178E-4	0.3791	
5519	28170.0	0.1058	0.008931	4.189E-4	0.4711	
5520	24590.0	0.1058	0.008329	4.139E-4	0.5024	
5521	56780.0	0.1056	0.004408	4.534E-4	0.2662	
5522	54490.0	0.1063	0.006291	5.047E-4	0.4425	
5523	59910.0	0.1056	0.006458	3.984E-4	0.4341	
5524	40270.0	0.1066	0.009982	4.888E-4	0.4175	
5525	57280.0	0.1055	0.01058	4.573E-4	0.4554	
5526	59420.0	0.1052	0.006386	3.948E-4	0.5318	
5527	58090.0	0.1043	0.009416	4.75E-4	0.4413	
5528	56820.0	0.1054	0.00857	4.795E-4	0.4103	
5529	57020.0	0.1049	0.0119	4.296E-4	0.5134	
5530	36320.0	0.1067	0.0105	5.584E-4	0.4609	
5531	49630.0	0.1067	0.01458	5.339E-4	0.4037	
5532	56570.0	0.1051	0.01467	5.398E-4	0.3869	
5533	55380.0	0.1062	0.008974	5.613E-4	0.1983	
5534	52750.0	0.1041	0.009834	5.782E-4	0.2206	
5535	54490.0	0.1058	0.008573	4.936E-4	0.2319	
5536	51670.0	0.106	0.01098	4.485E-4	0.5193	
5537	57900.0	0.1058	0.01147	4.328E-4	0.6179	
5538	57890.0	0.1058	0.005473	4.255E-4	0.3972	
5539	59710.0	0.1055	0.005658	5.6E-4	0.4392	
5540	-353.3	0.1048	0.005565	4.787E-4	0.4292	
5541	55330.0	0.1051	0.005716	4.928E-4	0.5113	
5542	56870.0	0.1057	0.005957	5.116E-4	0.3773	
5543	24160.0	0.1045	0.01009	5.137E-4	0.3771	
5544	50970.0	0.1064	0.008759	4.399E-4	0.4244	
5545	58870.0	0.1056	0.01092	5.769E-4	0.4065	
5546	59410.0	0.1051	0.006161	5.849E-4	0.2486	
5547	42750.0	0.1064	0.0086	5.73E-4	0.4121	
5548	49170.0	0.1049	0.009057	4.643E-4	0.5039	
5549	57100.0	0.1047	0.01279	4.908E-4	0.4419	
5550	44050.0	0.106	0.009156	5.531E-4	0.4445	
5551	57330.0	0.1058	0.004677	5.597E-4	0.5842	
5552	51090.0	0.106	0.008186	5.187E-4	0.5904	
5553	58350.0	0.106	0.008139	4.605E-4	0.299	
5554	56470.0	0.105	0.005286	5.394E-4	0.2524	
5555	27610.0	0.1059	0.00614	4.952E-4	0.3468	
5556	52260.0	0.1058	0.007227	5.364E-4	0.507	
5557	54040.0	0.1061	0.01485	4.793E-4	0.4897	
5558	47600.0	0.105	0.0121	5.084E-4	0.3322	
5559	28490.0	0.1071	0.008363	4.321E-4	0.4695	
5560	59820.0	0.1061	0.008421	4.194E-4	0.5539	
5561	55630.0	0.1059	0.007476	4.976E-4	0.2764	
5562	50520.0	0.1058	0.0122	5.167E-4	0.4252	
5563	44870.0	0.1069	0.009054	4.471E-4	0.581	
5564	49670.0	0.107	0.01321	4.288E-4	0.4685	
5565	52910.0	0.1071	0.004378	4.297E-4	0.3903	
5566	50320.0	0.1067	0.003512	3.832E-4	0.3328	
5567	54340.0	0.1048	0.003941	4.043E-4	0.3931	
5568	59970.0	0.1046	0.003758	5.879E-4	0.2523	
5569	59920.0	0.1048	0.005909	6.142E-4	0.3467	
5570	57140.0	0.1062	0.004086	6.375E-4	0.3723	
5571	54780.0	0.1036	0.009628	4.459E-4	0.437	
5572	56980.0	0.1037	0.005276	3.993E-4	0.4875	
5573	59790.0	0.1037	0.008418	5.672E-4	0.3611	
5574	41020.0	0.1045	0.004391	4.915E-4	0.4002	
5575	59020.0	0.1049	0.004204	5.855E-4	0.3155	
5576	58950.0	0.1065	0.01099	4.072E-4	0.4055	
5577	52780.0	0.1047	0.008744	4.697E-4	0.4405	
5578	48330.0	0.1065	0.007047	5.775E-4	0.3594	
5579	50050.0	0.1062	0.006797	5.178E-4	0.4269	
5580	59700.0	0.104	0.009586	5.044E-4	0.5049	
5581	34070.0	0.1056	0.007768	4.31E-4	0.505	
5582	52220.0	0.1061	0.007772	3.668E-4	0.5605	
5583	51370.0	0.1054	0.006297	4.802E-4	0.4154	
5584	36830.0	0.1053	0.005267	5.312E-4	0.4181	
5585	53360.0	0.1063	0.006727	5.151E-4	0.5066	
5586	59740.0	0.1044	0.009296	5.179E-4	0.5422	
5587	54050.0	0.1045	0.00846	4.642E-4	0.368	
5588	58230.0	0.1056	0.008789	5.289E-4	0.3094	
5589	55100.0	0.1043	0.01024	4.639E-4	0.5833	
5590	57230.0	0.1039	0.009503	3.692E-4	0.3603	
5591	30330.0	0.1067	0.00718	5.733E-4	0.3788	
5592	7535.0	0.1049	0.00737	5.137E-4	0.4454	
5593	55480.0	0.1054	0.00991	5.414E-4	0.3333	
5594	38940.0	0.1041	0.01239	4.884E-4	0.4308	
5595	56010.0	0.1065	0.01469	4.78E-4	0.5603	
5596	48910.0	0.1052	0.0152	4.9E-4	0.4542	
5597	59740.0	0.1053	0.01165	4.714E-4	0.494	
5598	53060.0	0.1057	0.01041	5.568E-4	0.5233	
5599	44180.0	0.1056	0.007837	5.556E-4	0.576	
5600	10480.0	0.1061	0.008515	4.61E-4	0.321	
5601	47670.0	0.1068	0.00877	3.666E-4	0.4092	
5602	46970.0	0.1051	0.006415	4.566E-4	0.7082	
5603	28580.0	0.1082	0.004919	5.278E-4	0.6185	
5604	48970.0	0.1082	0.004612	4.884E-4	0.3773	
5605	57940.0	0.1039	0.006634	4.879E-4	0.5592	
5606	59560.0	0.1069	0.009602	4.751E-4	0.5353	
5607	55860.0	0.1071	0.008043	4.48E-4	0.4835	
5608	59550.0	0.1073	0.009381	4.168E-4	0.3265	
5609	60010.0	0.1041	0.007666	4.647E-4	0.4089	
5610	48430.0	0.1034	0.005488	5.009E-4	0.3132	
5611	49720.0	0.1067	0.005277	4.565E-4	0.5784	
5612	54200.0	0.1053	0.008304	4.438E-4	0.4065	
5613	58580.0	0.1055	0.0088	5.104E-4	0.2976	
5614	55160.0	0.1056	0.01385	5.993E-4	0.3536	
5615	48550.0	0.1056	0.01648	3.881E-4	0.6494	
5616	40010.0	0.1059	0.01461	3.931E-4	0.3072	
5617	44340.0	0.1067	0.01207	5.398E-4	0.3362	
5618	59860.0	0.1048	0.009734	5.727E-4	0.3942	
5619	56850.0	0.1061	0.01054	5.8E-4	0.3557	
5620	59050.0	0.1062	0.01471	5.493E-4	0.3339	
5621	36260.0	0.1042	0.006788	5.255E-4	0.2292	
5622	59830.0	0.1046	0.004516	5.064E-4	0.1752	
5623	59470.0	0.1048	0.005778	4.856E-4	0.1832	
5624	30180.0	0.1049	0.004756	5.752E-4	0.21	
5625	53210.0	0.1056	0.007247	5.475E-4	0.4042	
5626	51440.0	0.1065	0.01149	4.76E-4	0.3985	
5627	53560.0	0.1054	0.009418	3.686E-4	0.3913	
5628	58590.0	0.106	0.005792	5.416E-4	0.4253	
5629	47990.0	0.1065	0.01021	5.417E-4	0.3445	
5630	56070.0	0.1055	0.01065	5.28E-4	0.4214	
5631	59930.0	0.1048	0.005531	5.466E-4	0.2962	
5632	58420.0	0.1065	0.009773	5.351E-4	0.4605	
5633	52790.0	0.1066	0.01117	4.652E-4	0.4618	
5634	47300.0	0.1052	0.009778	4.92E-4	0.3324	
5635	53650.0	0.1067	0.008831	4.97E-4	0.5074	
5636	60010.0	0.1058	0.01163	4.851E-4	0.5214	
5637	56330.0	0.1066	0.009627	3.923E-4	0.7463	
5638	59650.0	0.1066	0.008934	3.96E-4	0.6055	
5639	53940.0	0.1048	0.00841	3.972E-4	0.6464	
5640	53940.0	0.1046	0.01143	4.503E-4	0.3142	
5641	57690.0	0.1052	0.007578	5.075E-4	0.496	
5642	58870.0	0.1045	0.009042	4.159E-4	0.4255	
5643	56320.0	0.1037	0.01021	4.732E-4	0.618	
5644	47120.0	0.1031	0.01128	4.521E-4	0.3927	
5645	33120.0	0.1057	0.007553	4.759E-4	0.3894	
5646	39700.0	0.1066	0.004351	5.687E-4	0.4737	
5647	53510.0	0.1047	0.003971	5.383E-4	0.4045	
5648	59910.0	0.1064	0.004412	5.154E-4	0.4278	
5649	59990.0	0.1058	0.006893	4.658E-4	0.4146	
5650	57940.0	0.1057	0.01171	5.181E-4	0.4345	
5651	54730.0	0.1048	0.0119	4.859E-4	0.462	
5652	50360.0	0.1051	0.01173	5.184E-4	0.6621	
5653	59820.0	0.1052	0.01382	3.179E-4	0.8238	
5654	30150.0	0.1061	0.007609	4.118E-4	0.1604	
5655	55960.0	0.1066	0.008058	5.59E-4	0.2274	
5656	55630.0	0.105	0.01082	5.281E-4	0.2511	
5657	34580.0	0.105	0.01611	5.083E-4	0.4449	
5658	11770.0	0.1057	0.008839	4.692E-4	0.4678	
5659	-30400.0	0.106	0.01277	4.519E-4	0.5159	
5660	31150.0	0.1063	0.007518	4.904E-4	0.4967	
5661	59740.0	0.1047	0.009413	3.901E-4	0.6703	
5662	29110.0	0.1061	0.008198	5.01E-4	0.6038	
5663	59150.0	0.1044	0.005912	4.581E-4	0.5843	
5664	20090.0	0.1078	0.008438	4.671E-4	0.4212	
5665	58610.0	0.1083	0.01005	3.795E-4	0.4074	
5666	58950.0	0.1066	0.00865	5.417E-4	0.4054	
5667	21870.0	0.1057	0.01313	5.395E-4	0.4321	
5668	59730.0	0.1048	0.0123	3.65E-4	0.4761	
5669	44970.0	0.1068	0.01164	5.638E-4	0.4379	
5670	49670.0	0.1068	0.009612	4.326E-4	0.5053	
5671	56950.0	0.1048	0.01322	4.815E-4	0.2728	
5672	41830.0	0.1046	0.0105	4.599E-4	0.2886	
5673	56650.0	0.1059	0.009571	5.613E-4	0.4096	
5674	51170.0	0.1058	0.009824	5.102E-4	0.312	
5675	50260.0	0.1063	0.009029	5.133E-4	0.3893	
5676	11140.0	0.1067	0.009003	5.439E-4	0.3708	
5677	57650.0	0.1062	0.01107	5.419E-4	0.3357	
5678	57070.0	0.1046	0.01113	4.98E-4	0.4778	
5679	43140.0	0.1062	0.009641	5.467E-4	0.2847	
5680	59620.0	0.1056	0.0108	4.81E-4	0.3759	
5681	59760.0	0.106	0.01114	4.367E-4	0.546	
5682	50560.0	0.1049	0.008803	4.514E-4	0.5517	
5683	60010.0	0.1061	0.00744	3.977E-4	0.4579	
5684	59030.0	0.1047	0.006155	5.1E-4	0.3795	
5685	52870.0	0.1048	0.005594	5.033E-4	0.3861	
5686	57760.0	0.1058	0.01015	5.037E-4	0.441	
5687	59400.0	0.1055	0.007294	4.985E-4	0.4935	
5688	59890.0	0.1068	0.01282	4.505E-4	0.3926	
5689	58730.0	0.1062	0.0134	4.358E-4	0.5374	
5690	52190.0	0.1049	0.008681	4.532E-4	0.4688	
5691	23740.0	0.1066	0.01004	4.908E-4	0.4803	
5692	19800.0	0.1049	0.009409	5.218E-4	0.4112	
5693	38580.0	0.1047	0.017	4.365E-4	0.4587	
5694	57520.0	0.1051	0.006451	4.188E-4	0.4506	
5695	59840.0	0.1065	0.007192	3.753E-4	0.3289	
5696	59940.0	0.1055	0.007016	5.443E-4	0.3552	
5697	56520.0	0.1062	0.007341	4.559E-4	0.385	
5698	59670.0	0.106	0.008223	4.891E-4	0.363	
5699	38390.0	0.1061	0.009565	5.241E-4	0.46	
5700	55610.0	0.1069	0.009014	5.025E-4	0.5078	
5701	37650.0	0.1063	0.00972	5.255E-4	0.4027	
5702	51520.0	0.1061	0.009764	5.666E-4	0.2362	
5703	40970.0	0.1052	0.007781	5.069E-4	0.2448	
5704	41610.0	0.1048	0.008919	5.641E-4	0.2413	
5705	59780.0	0.1051	0.01017	5.307E-4	0.3843	
5706	59670.0	0.1041	0.008452	5.211E-4	0.4214	
5707	6.0E+4	0.1059	0.01525	4.04E-4	0.5012	
5708	59620.0	0.1052	0.0153	3.96E-4	0.3974	
5709	59330.0	0.1055	0.01524	4.259E-4	0.4465	
5710	53990.0	0.1058	0.01611	4.758E-4	0.415	
5711	58380.0	0.1066	0.015	4.618E-4	0.2685	
5712	59420.0	0.1051	0.01619	5.042E-4	0.2706	
5713	42440.0	0.1072	0.009063	4.653E-4	0.307	
5714	59550.0	0.1066	0.008731	5.04E-4	0.3196	
5715	58440.0	0.1057	0.01027	4.415E-4	0.3081	
5716	59730.0	0.1057	0.00807	5.474E-4	0.321	
5717	55190.0	0.1058	0.01162	4.399E-4	0.3864	
5718	32600.0	0.1056	0.009317	5.841E-4	0.3009	
5719	59070.0	0.1055	0.008732	4.988E-4	0.3892	
5720	57100.0	0.1066	0.007299	5.291E-4	0.3485	
5721	6.0E+4	0.1065	0.01055	5.722E-4	0.335	
5722	59490.0	0.1066	0.01004	5.19E-4	0.4366	
5723	57800.0	0.1065	0.008682	4.794E-4	0.3771	
5724	57390.0	0.1049	0.006618	4.415E-4	0.4165	
5725	57240.0	0.1066	0.007311	4.818E-4	0.5271	
5726	48290.0	0.106	0.01111	4.693E-4	0.3583	
5727	59560.0	0.1065	0.009177	4.116E-4	0.4455	
5728	54010.0	0.1044	0.01076	4.912E-4	0.5589	
5729	57040.0	0.1051	0.005712	4.041E-4	0.7772	
5730	59720.0	0.1054	0.00981	3.838E-4	0.6655	
5731	48760.0	0.1062	0.01024	3.495E-4	0.4465	
5732	59410.0	0.1057	0.006859	4.469E-4	0.5061	
5733	45230.0	0.1052	0.009917	4.75E-4	0.6612	
5734	36650.0	0.1064	0.01315	4.818E-4	0.2533	
5735	59380.0	0.1062	0.005022	4.618E-4	0.2516	
5736	58880.0	0.1045	0.00478	6.387E-4	0.3194	
5737	53580.0	0.1049	0.006212	6.488E-4	0.2391	
5738	48080.0	0.1049	0.00759	4.744E-4	0.3567	
5739	59670.0	0.106	0.006867	5.438E-4	0.3057	
5740	16470.0	0.1069	0.008873	4.72E-4	0.419	
5741	57510.0	0.1065	0.008878	4.939E-4	0.4206	
5742	22150.0	0.1047	0.007958	5.422E-4	0.2866	
5743	59770.0	0.1072	0.01322	4.583E-4	0.4976	
5744	57650.0	0.1046	0.01143	4.434E-4	0.3926	
5745	5.6E+4	0.1061	0.01094	3.815E-4	0.4989	
5746	32770.0	0.1061	0.008723	4.053E-4	0.6355	
5747	54230.0	0.1061	0.00759	4.492E-4	0.6477	
5748	51970.0	0.1065	0.007562	3.969E-4	0.6099	
5749	42230.0	0.1077	0.003825	5.315E-4	0.6775	
5750	58710.0	0.1068	0.004637	4.081E-4	0.6133	
5751	58870.0	0.1056	0.006528	4.589E-4	0.4229	
5752	54660.0	0.1059	0.007587	5.656E-4	0.5122	
5753	28340.0	0.1071	0.007719	4.886E-4	0.335	
5754	59030.0	0.106	0.008164	5.823E-4	0.4291	
5755	52730.0	0.1058	0.009209	4.968E-4	0.3979	
5756	57580.0	0.1054	0.01126	5.176E-4	0.4472	
5757	43270.0	0.1051	0.006343	4.275E-4	0.5897	
5758	58270.0	0.1057	0.0121	3.913E-4	0.5574	
5759	57830.0	0.1062	0.00789	4.143E-4	0.3186	
5760	43370.0	0.1055	0.006711	5.427E-4	0.3654	
5761	58330.0	0.1054	0.0102	5.71E-4	0.3172	
5762	59950.0	0.106	0.009412	6.009E-4	0.1491	
5763	50680.0	0.1055	0.01151	5.091E-4	0.4345	
5764	50450.0	0.1051	0.007845	4.925E-4	0.4413	
5765	42750.0	0.1059	0.006747	4.825E-4	0.5169	
5766	51020.0	0.1048	0.01557	4.621E-4	0.3706	
5767	46210.0	0.1061	0.008654	4.113E-4	0.6527	
5768	59980.0	0.1064	0.008534	5.253E-4	0.4557	
5769	58080.0	0.1065	0.007791	4.093E-4	0.6242	
5770	59400.0	0.1063	0.009163	4.461E-4	0.5197	
5771	47290.0	0.1068	0.01005	4.221E-4	0.3824	
5772	44150.0	0.1066	0.01303	4.355E-4	0.2599	
5773	49630.0	0.1057	0.01282	4.66E-4	0.4996	
5774	58940.0	0.1061	0.01347	5.273E-4	0.4216	
5775	56140.0	0.1048	0.01215	4.988E-4	0.3803	
5776	29210.0	0.1065	0.00812	3.972E-4	0.6744	
5777	59340.0	0.1048	0.008002	4.201E-4	0.2763	
5778	43600.0	0.1045	0.006528	5.663E-4	0.3531	
5779	57430.0	0.1059	0.009895	4.966E-4	0.2876	
5780	58180.0	0.1045	0.009191	5.078E-4	0.2583	
5781	59330.0	0.1063	0.007757	4.995E-4	0.6478	
5782	5754.0	0.1076	0.007712	3.832E-4	0.4925	
5783	58420.0	0.105	0.0107	3.759E-4	0.3452	
5784	59060.0	0.1058	0.008183	5.851E-4	0.2537	
5785	44430.0	0.1055	0.01018	5.309E-4	0.4956	
5786	51640.0	0.1045	0.01246	4.375E-4	0.3202	
5787	56140.0	0.1073	0.01512	4.936E-4	0.5853	
5788	58140.0	0.1047	0.01641	4.989E-4	0.3689	
5789	35820.0	0.1054	0.01258	5.394E-4	0.3972	
5790	53840.0	0.106	0.01571	5.329E-4	0.3971	
5791	31230.0	0.1044	0.01498	5.201E-4	0.3757	
5792	53970.0	0.1066	0.01501	4.747E-4	0.3899	
5793	55900.0	0.1043	0.01435	4.37E-4	0.5168	
5794	53220.0	0.1043	0.0135	4.52E-4	0.5327	
5795	37930.0	0.1059	0.00757	4.658E-4	0.5773	
5796	57920.0	0.1048	0.00527	4.819E-4	0.7662	
5797	58500.0	0.1058	0.006455	4.622E-4	0.3431	
5798	5.9E+4	0.1062	0.006864	4.845E-4	0.4202	
5799	34410.0	0.1071	0.009607	4.652E-4	0.685	
5800	58650.0	0.1057	0.0121	4.937E-4	0.7315	
5801	825.3	0.1043	0.01284	4.763E-4	0.5005	
5802	59290.0	0.1056	0.009805	4.902E-4	0.351	
5803	59700.0	0.1039	0.01155	4.378E-4	0.5296	
5804	57040.0	0.1073	0.01106	5.375E-4	0.4526	
5805	40140.0	0.1033	0.01088	4.563E-4	0.5858	
5806	51740.0	0.1092	0.01101	4.086E-4	0.4312	
5807	58690.0	0.1056	0.01414	4.158E-4	0.4872	
5808	39520.0	0.106	0.007062	4.775E-4	0.2947	
5809	59730.0	0.1066	0.005748	5.374E-4	0.315	
5810	51250.0	0.1067	0.006154	5.107E-4	0.5127	
5811	56690.0	0.1071	0.006297	5.059E-4	0.3982	
5812	3005.0	0.1075	0.006207	3.976E-4	0.5147	
5813	56570.0	0.1038	0.006416	4.487E-4	0.4599	
5814	57720.0	0.1048	0.006882	4.733E-4	0.4433	
5815	59270.0	0.106	0.006824	4.565E-4	0.4465	
5816	40100.0	0.1064	0.008982	4.8E-4	0.4257	
5817	58290.0	0.1052	0.00741	5.037E-4	0.373	
5818	44860.0	0.1063	0.005582	4.773E-4	0.3823	
5819	54020.0	0.1065	0.005111	4.801E-4	0.375	
5820	51470.0	0.1069	0.008989	4.501E-4	0.4308	
5821	2.8E+4	0.1055	0.0123	4.561E-4	0.3164	
5822	59840.0	0.1035	0.009943	5.22E-4	0.279	
5823	41190.0	0.1062	0.007154	4.065E-4	0.5055	
5824	58810.0	0.1064	0.008986	4.981E-4	0.4236	
5825	59700.0	0.1058	0.007188	4.816E-4	0.4672	
5826	54270.0	0.105	0.005873	4.556E-4	0.6986	
